Order_ID,Order_Date,Ship_Date,First_Name,Last_Name,Full_Name,Country,Region,Category,Sub_Category,Sales,Profit,Quantity,Discount
ORD00037,26-09-2021,03-10-2021,Liam,Johnson,Liam Johnson,Canada,East,Technology,Tables,959,-231,8,0
ORD00038,06-11-2022,14-11-2022,Rahul,Johnson,RahulJohnson,Canada,West,Furniture,Binders,685,-14,6,0
ORD00039,10-08-2021,17-08-2021,Liam,Sharma,Liam Sharma,India,North,Furniture,Accessories,1920,18,14,0.1
ORD00040,15-07-2021,25-07-2021,Emma,Taylor,Emma Taylor,India,East,Furniture,Tables,1500,107,1,0
ORD00041,03-12-2022,05-12-2022,Noah,Verma,Noah Verma,USA,North,Furniture,Tables,1477,-179,14,0
ORD00042,21-08-2021,24-08-2021,John,Sharma,John Sharma,Australia,East,Office Supplies,Binders,1062,-153,15,0.1
ORD00043,09-04-2022,10-04-2022,Ava,Verma,Ava Verma,India,East,Office Supplies,Binders,1006,168,14,0
ORD00044,05-10-2022,07-10-2022,Amit,Patel,Amit Patel,Australia,East,Technology,Binders,299,102,2,0
ORD00045,23-10-2021,01-11-2021,Liam,Verma,Liam Verma,Australia,East,Furniture,Binders,1465,-281,6,0
ORD00046,22-12-2021,24-12-2021,Emma,Sharma,Emma Sharma,Australia,East,Technology,Phones,1097,-274,4,0
ORD00047,25-02-2022,26-02-2022,Rahul,Smith,Rahul Smith,USA,West,Office Supplies,Accessories,628,-76,15,0.1
ORD00048,26-03-2022,01-04-2022,Noah,Sharma,Noah Sharma,Canada,West,Office Supplies,Chairs,83,-4,11,0
ORD00049,22-02-2021,01-03-2021,Liam,Taylor,Liam Taylor,UK,East,Technology,Chairs,860,221,9,0
ORD00050,15-01-2021,24-01-2021,Sneha,Patel,Sneha Patel,UK,North,Office Supplies,Chairs,325,93,3,0
ORD00051,05-11-2021,15-11-2021,Rahul,Brown,Rahul Brown,Australia,South,Technology,Binders,88,-7,14,0
ORD00052,12-10-2022,15-10-2022,John,Sharma,John Sharma,UK,North,Technology,Phones,1186,-106,3,0
ORD00053,05-11-2022,15-11-2022,Olivia,Johnson,Olivia Johnson,India,North,Technology,Tables,385,-87,13,0.1
ORD00054,28-06-2022,01-07-2022,Priya,Brown,Priya Brown,Canada,East,Technology,Accessories,1649,312,10,0.2
ORD00055,18-10-2021,21-10-2021,Noah,Verma,Noah Verma,Australia,South,Office Supplies,Phones,1600,54,1,0.1
ORD00056,15-02-2021,18-02-2021,Rahul,Patel,RahulPatel,Australia,South,Technology,Phones,969,-105,6,0.2
ORD00057,09-09-2021,13-09-2021,Olivia,Patel,Olivia Patel,Australia,South,Office Supplies,Storage,225,67,12,0.1
ORD00058,19-08-2022,25-08-2022,Noah,Anderson,Noah Anderson,Canada,East,Office Supplies,Chairs,571,187,1,0.1
ORD00059,02-11-2021,04-11-2021,Liam,Johnson,Liam Johnson,USA,South,Furniture,Chairs,1644,-342,6,0.1
ORD00060,30-09-2022,02-10-2022,Ava,Brown,Ava Brown,Canada,West,Office Supplies,Tables,1705,-129,6,0
ORD00061,14-12-2022,18-12-2022,John,Smith,JohnSmith,Canada,East,Technology,Accessories,81,-11,9,0
ORD00062,11-09-2021,18-09-2021,Rahul,Anderson,Rahul Anderson,UK,East,Office Supplies,Accessories,439,63,10,0.1
ORD00063,23-08-2021,01-09-2021,Amit,Taylor,Amit Taylor,Australia,West,Technology,Accessories,882,225,12,0
ORD00064,18-03-2021,26-03-2021,Noah,Smith,Noah Smith,Australia,West,Furniture,Accessories,1574,362,3,0.1
ORD00065,23-01-2022,29-01-2022,Liam,Taylor,Liam Taylor,India,West,Office Supplies,Storage,965,-93,6,0.1
ORD00066,13-07-2021,22-07-2021,Rahul,Sharma,Rahul Sharma,Australia,North,Technology,Accessories,220,28,7,0.1
ORD00067,09-12-2022,12-12-2022,John,Smith,JohnSmith,Australia,West,OfficeSupplies,Tables,1521,415,6,0
ORD00068,05-09-2021,11-09-2021,John,Smith,John Smith,Australia,East,Furniture,Tables,1509,162,13,0.1
ORD00069,20-08-2021,23-08-2021,Emma,Verma,EmmaVerma,Australia,North,OfficeSupplies,Binders,1810,-75,8,0
ORD00070,01-03-2021,10-03-2021,Olivia,Smith,Olivia Smith,India,South,Office Supplies,Tables,1679,38,2,0
ORD00071,03-09-2022,06-09-2022,Rahul,Sharma,Rahul Sharma,Canada,East,Office Supplies,Tables,386,57,3,0.2
ORD00072,29-07-2022,06-08-2022,Emma,Smith,Emma Smith,USA,East,Furniture,Chairs,329,109,11,0
ORD00073,19-11-2022,20-11-2022,Liam,Johnson,Liam Johnson,India,South,Office Supplies,Storage,1716,319,7,0.1
ORD00074,05-05-2021,10-05-2021,Rahul,Taylor,Rahul Taylor,India,South,Office Supplies,Storage,898,30,13,0
ORD00075,16-10-2021,24-10-2021,Noah,Taylor,Noah Taylor,Canada,East,Technology,Storage,1307,404,10,0.1
ORD00076,04-08-2022,08-08-2022,Noah,Sharma,Noah Sharma,Australia,North,Office Supplies,Accessories,1926,212,12,0.1
ORD00077,16-12-2021,25-12-2021,Priya,Taylor,Priya Taylor,India,West,Office Supplies,Binders,95,0,2,0
ORD00078,25-06-2021,30-06-2021,Ava,Patel,Ava Patel,India,North,Technology,Phones,1799,359,7,0.1
ORD00079,12-09-2022,18-09-2022,Amit,Brown,AmitBrown,India,East,Furniture,Phones,1394,469,1,0.1
ORD00080,22-09-2022,27-09-2022,Rahul,Sharma,Rahul Sharma,Canada,South,Technology,Phones,988,163,3,0.1
ORD00081,07-11-2022,08-11-2022,Liam,Brown,Liam Brown,UK,West,Office Supplies,Binders,856,2,2,0
ORD00082,01-07-2021,05-07-2021,Rahul,Patel,Rahul Patel,UK,West,Technology,Tables,1199,417,4,0.2
ORD00083,12-06-2021,19-06-2021,Noah,Johnson,Noah Johnson,Canada,West,Technology,Chairs,1340,392,12,0.1
ORD00084,25-05-2021,27-05-2021,Rahul,Smith,Rahul Smith,USA,West,Technology,Chairs,1668,-249,4,0
ORD00085,31-12-2022,01-01-2023,Emma,Smith,Emma Smith,UK,East,Furniture,Chairs,542,121,13,0.1
ORD00086,10-12-2022,16-12-2022,Rahul,Patel,Rahul Patel,USA,North,Furniture,Tables,544,87,3,0
ORD00087,13-01-2022,20-01-2022,Noah,Sharma,NoahSharma,USA,North,Technology,Chairs,1896,-396,2,0
ORD00088,06-03-2021,08-03-2021,Liam,Taylor,Liam Taylor,Canada,North,Office Supplies,Chairs,1968,485,2,0.2
ORD00089,04-12-2022,05-12-2022,Priya,Patel,Priya Patel,Canada,North,Office Supplies,Accessories,923,58,8,0.1
ORD00090,16-06-2021,23-06-2021,Rahul,Sharma,RahulSharma,Canada,South,Furniture,Tables,1482,510,12,0.2
ORD00091,22-12-2021,27-12-2021,Olivia,Smith,Olivia Smith,UK,West,Office Supplies,Phones,774,-143,6,0.1
ORD00092,12-08-2021,19-08-2021,Ava,Brown,Ava Brown,Australia,South,Technology,Storage,1348,202,10,0
ORD00093,06-08-2022,10-08-2022,Ava,Verma,Ava Verma,Canada,South,Office Supplies,Storage,1622,-406,3,0
ORD00094,01-04-2021,11-04-2021,Rahul,Verma,RahulVerma,Canada,West,Technology,Storage,1778,514,3,0.1
ORD00095,19-12-2022,29-12-2022,Ava,Verma,AvaVerma,Canada,East,OfficeSupplies,Binders,105,-7,12,0
ORD00096,05-02-2021,12-02-2021,John,Sharma,JohnSharma,Canada,South,Furniture,Phones,572,157,14,0
ORD00097,15-06-2022,17-06-2022,Amit,Verma,AmitVerma,Canada,West,OfficeSupplies,Chairs,202,-34,11,0
ORD00098,29-04-2022,02-05-2022,Liam,Brown,Liam Brown,UK,South,Furniture,Phones,578,190,10,0.1
ORD00099,26-08-2021,03-09-2021,Amit,Johnson,AmitJohnson,UK,South,Furniture,Tables,1686,-375,7,0.1
ORD00100,08-09-2021,11-09-2021,Liam,Smith,Liam Smith,USA,South,Technology,Storage,1811,225,10,0
ORD00101,23-02-2022,24-02-2022,Ava,Taylor,Ava Taylor,UK,West,Office Supplies,Storage,70,17,3,0.1
ORD00102,25-03-2022,28-03-2022,Sneha,Brown,Sneha Brown,Canada,North,Furniture,Chairs,1988,-11,3,0.1
ORD00103,02-10-2022,07-10-2022,John,Anderson,John Anderson,Canada,North,Technology,Phones,246,-32,13,0
ORD00104,02-08-2022,04-08-2022,Emma,Taylor,Emma Taylor,India,North,Furniture,Tables,960,-52,11,0
ORD00105,03-07-2021,04-07-2021,Liam,Johnson,Liam Johnson,India,North,Technology,Phones,307,-59,2,0.1
ORD00106,08-02-2021,15-02-2021,Priya,Taylor,PriyaTaylor,India,West,OfficeSupplies,Binders,1555,-456,12,0.2
ORD00107,06-11-2021,16-11-2021,Ava,Verma,Ava Verma,Canada,North,Office Supplies,Accessories,355,-43,3,0.1
ORD00108,16-09-2022,25-09-2022,Olivia,Patel,Olivia Patel,Canada,North,Furniture,Accessories,1843,-430,5,0
ORD00109,01-01-2021,05-01-2021,Amit,Anderson,Amit Anderson,India,South,Office Supplies,Tables,1726,588,3,0.2
ORD00110,30-12-2021,06-01-2022,Noah,Anderson,NoahAnderson,India,West,OfficeSupplies,Accessories,1462,87,15,0
ORD00111,21-03-2021,29-03-2021,Priya,Smith,Priya Smith,India,South,Technology,Accessories,632,35,2,0
ORD00112,16-02-2022,26-02-2022,Olivia,Sharma,Olivia Sharma,India,West,Office Supplies,Binders,1942,528,13,0.1
ORD00113,17-04-2021,20-04-2021,John,Smith,John Smith,UK,East,Technology,Storage,267,52,15,0.1
ORD00114,09-07-2021,12-07-2021,Rahul,Johnson,Rahul Johnson,Canada,East,Office Supplies,Chairs,1793,570,1,0
ORD00115,11-09-2022,12-09-2022,Noah,Smith,Noah Smith,USA,North,Furniture,Phones,926,-40,13,0
ORD00116,10-09-2021,16-09-2021,Olivia,Johnson,Olivia Johnson,USA,North,Furniture,Chairs,1089,91,5,0.1
ORD00117,25-08-2022,01-09-2022,Rahul,Johnson,Rahul Johnson,UK,North,Office Supplies,Phones,761,251,4,0.1
ORD00118,30-10-2021,04-11-2021,Ava,Brown,Ava Brown,Canada,North,Furniture,Phones,996,23,13,0.1
ORD00119,13-05-2022,22-05-2022,Amit,Smith,Amit Smith,Canada,South,Office Supplies,Accessories,1344,329,1,0
ORD00120,12-10-2022,20-10-2022,Ava,Verma,Ava Verma,Canada,South,Furniture,Storage,296,-6,6,0.1
ORD00121,03-02-2021,09-02-2021,Sneha,Taylor,Sneha Taylor,USA,South,Office Supplies,Phones,80,-1,1,0.1
ORD00122,09-11-2022,15-11-2022,Noah,Sharma,Noah Sharma,India,South,Technology,Storage,1375,41,10,0
ORD00123,13-08-2022,16-08-2022,Liam,Patel,Liam Patel,Australia,South,Furniture,Storage,1561,191,3,0
ORD00124,11-12-2022,18-12-2022,Liam,Smith,Liam Smith,UK,South,Technology,Storage,1890,604,7,0
ORD00125,17-10-2021,27-10-2021,Noah,Sharma,Noah Sharma,India,East,Technology,Storage,431,45,11,0.1
ORD00126,28-09-2021,06-10-2021,Amit,Smith,Amit Smith,UK,East,Furniture,Chairs,1560,-413,12,0
ORD00127,01-10-2021,06-10-2021,Emma,Taylor,Emma Taylor,Australia,West,Furniture,Tables,710,128,12,0
ORD00128,08-01-2022,17-01-2022,Liam,Anderson,Liam Anderson,Canada,North,Office Supplies,Tables,470,-86,14,0
ORD00129,15-02-2022,23-02-2022,Liam,Verma,Liam Verma,Australia,North,Technology,Storage,255,-60,12,0.1
ORD00130,15-05-2021,24-05-2021,Noah,Smith,Noah Smith,India,East,Office Supplies,Storage,1734,563,4,0.1
ORD00131,15-03-2022,24-03-2022,Sneha,Verma,Sneha Verma,Australia,South,Furniture,Tables,1466,470,10,0
ORD00132,22-11-2022,01-12-2022,Amit,Patel,Amit Patel,Australia,South,Office Supplies,Tables,1936,164,13,0.1
ORD00133,19-04-2022,29-04-2022,Rahul,Smith,Rahul Smith,India,East,Furniture,Tables,776,-179,8,0
ORD00134,14-08-2021,17-08-2021,Ava,Smith,Ava Smith,USA,South,Technology,Chairs,75,-16,9,0.1
ORD00135,05-02-2022,13-02-2022,Priya,Verma,Priya Verma,India,East,Office Supplies,Tables,1327,-179,14,0.2
ORD00136,22-03-2021,01-04-2021,Sneha,Taylor,Sneha Taylor,UK,East,Technology,Chairs,40,12,4,0.1
ORD00137,20-08-2021,27-08-2021,Emma,Verma,Emma Verma,USA,West,Technology,Phones,282,87,6,0.1
ORD00138,04-06-2022,07-06-2022,Priya,Sharma,PriyaSharma,USA,North,Technology,Storage,397,66,8,0
ORD00139,16-07-2021,25-07-2021,Rahul,Smith,Rahul Smith,Australia,South,Office Supplies,Tables,1632,-243,11,0
ORD00140,16-08-2021,19-08-2021,John,Sharma,John Sharma,India,South,Office Supplies,Tables,793,-114,7,0.1
ORD00141,29-10-2022,04-11-2022,Priya,Johnson,Priya Johnson,USA,South,Furniture,Accessories,751,-185,3,0.1
ORD00142,23-01-2021,28-01-2021,Emma,Taylor,Emma Taylor,UK,West,Technology,Storage,1542,363,6,0
ORD00143,29-03-2021,07-04-2021,Liam,Anderson,Liam Anderson,Canada,South,Furniture,Phones,203,46,8,0.1
ORD00144,16-03-2021,22-03-2021,Ava,Taylor,AvaTaylor,Canada,North,Furniture,Accessories,630,-89,13,0
ORD00145,24-09-2022,04-10-2022,Liam,Anderson,Liam Anderson,USA,West,Office Supplies,Chairs,1011,94,14,0.1
ORD00146,30-12-2021,01-01-2022,Liam,Brown,Liam Brown,UK,West,Office Supplies,Binders,38,-8,5,0.1
ORD00147,20-05-2021,27-05-2021,Rahul,Patel,Rahul Patel,UK,East,Furniture,Phones,1858,-417,1,0.2
ORD00148,21-06-2022,23-06-2022,Amit,Taylor,Amit Taylor,Australia,North,Technology,Chairs,1573,326,6,0.2
ORD00149,16-06-2022,17-06-2022,Emma,Patel,Emma Patel,Australia,East,Office Supplies,Chairs,169,58,10,0.2
ORD00150,09-02-2022,19-02-2022,Emma,Johnson,Emma Johnson,Canada,East,Technology,Phones,934,226,8,0.2
ORD00151,24-08-2021,02-09-2021,Emma,Taylor,Emma Taylor,UK,South,Office Supplies,Phones,848,71,3,0
ORD00152,24-03-2022,03-04-2022,Emma,Johnson,Emma Johnson,UK,South,Furniture,Phones,1367,-304,7,0
ORD00153,28-05-2022,02-06-2022,Sneha,Smith,Sneha Smith,UK,South,Technology,Accessories,424,-50,15,0
ORD00154,17-08-2022,22-08-2022,Rahul,Verma,Rahul Verma,UK,North,Office Supplies,Accessories,381,67,10,0
ORD00155,22-12-2021,23-12-2021,John,Verma,John Verma,Canada,South,Office Supplies,Accessories,1769,431,15,0
ORD00156,28-12-2021,04-01-2022,Sneha,Smith,SnehaSmith,Canada,South,Technology,Accessories,1359,-263,1,0
ORD00157,04-08-2021,12-08-2021,Priya,Patel,Priya Patel,India,North,Furniture,Chairs,1175,-76,11,0
ORD00158,14-11-2021,15-11-2021,Amit,Taylor,AmitTaylor,India,North,Technology,Chairs,1915,-248,13,0
ORD00159,18-07-2022,26-07-2022,Noah,Taylor,Noah Taylor,UK,North,Furniture,Storage,1757,-344,4,0.1
ORD00160,01-04-2021,08-04-2021,Amit,Anderson,Amit Anderson,UK,South,Furniture,Phones,1078,123,7,0.1
ORD00161,24-07-2021,30-07-2021,Emma,Sharma,Emma Sharma,Australia,West,Technology,Storage,1101,-272,5,0.1
ORD00162,25-08-2022,27-08-2022,Sneha,Verma,Sneha Verma,UK,West,Furniture,Phones,1630,441,1,0.1
ORD00163,17-01-2021,25-01-2021,Sneha,Anderson,Sneha Anderson,USA,South,Technology,Binders,1684,-219,10,0
ORD00164,20-12-2021,28-12-2021,Olivia,Patel,Olivia Patel,UK,West,Furniture,Accessories,1071,-18,13,0
ORD00165,30-12-2022,08-01-2023,John,Johnson,John Johnson,UK,East,Furniture,Binders,55,-10,8,0.2
ORD00166,30-03-2021,03-04-2021,Priya,Patel,Priya Patel,Canada,East,Office Supplies,Phones,1297,337,8,0.1
ORD00167,30-10-2021,31-10-2021,Sneha,Anderson,Sneha Anderson,USA,East,Technology,Tables,640,-66,5,0.2
ORD00168,10-10-2021,13-10-2021,Ava,Patel,Ava Patel,UK,South,Technology,Storage,463,-69,2,0
ORD00169,27-06-2022,05-07-2022,Amit,Patel,Amit Patel,India,West,Technology,Binders,1152,-238,13,0.1
ORD00170,31-07-2021,10-08-2021,Emma,Patel,Emma Patel,USA,East,Office Supplies,Chairs,890,-249,9,0.1
ORD00171,25-08-2021,28-08-2021,Noah,Smith,Noah Smith,UK,East,Office Supplies,Phones,70,4,10,0
ORD00172,14-10-2022,20-10-2022,Priya,Sharma,Priya Sharma,Canada,South,Office Supplies,Tables,43,-10,5,0.2
ORD00173,24-01-2021,31-01-2021,Rahul,Taylor,Rahul Taylor,USA,North,Furniture,Tables,1881,-178,7,0.2
ORD00174,11-02-2022,13-02-2022,Noah,Verma,NoahVerma,USA,West,OfficeSupplies,Phones,1009,268,8,0.1
ORD00175,11-08-2021,14-08-2021,John,Anderson,John Anderson,India,East,Furniture,Phones,1689,117,10,0.1
ORD00176,02-07-2022,10-07-2022,Sneha,Anderson,Sneha Anderson,Canada,North,Technology,Tables,1227,235,4,0.2
ORD00177,14-07-2022,23-07-2022,John,Sharma,JohnSharma,Canada,East,Technology,Tables,79,27,6,0.2
ORD00178,28-01-2021,04-02-2021,Emma,Verma,Emma Verma,UK,East,Furniture,Storage,1346,-192,14,0
ORD00179,22-02-2022,25-02-2022,Amit,Johnson,Amit Johnson,UK,West,Technology,Storage,124,0,8,0.1
ORD00180,21-07-2022,28-07-2022,Ava,Anderson,Ava Anderson,Canada,West,Technology,Tables,138,-17,15,0.1
ORD00181,15-03-2022,20-03-2022,Amit,Verma,AmitVerma,Canada,West,OfficeSupplies,Binders,565,191,10,0.2
ORD00182,28-12-2022,01-01-2023,Ava,Patel,Ava Patel,Australia,West,Technology,Binders,1808,-338,14,0.2
ORD00183,25-07-2022,30-07-2022,Rahul,Taylor,Rahul Taylor,Canada,South,Furniture,Phones,998,223,1,0
ORD00184,24-03-2021,31-03-2021,Noah,Anderson,Noah Anderson,UK,South,Technology,Phones,1152,-140,5,0.1
ORD00185,27-11-2021,30-11-2021,Ava,Patel,Ava Patel,USA,North,Technology,Binders,387,31,11,0
ORD00186,04-01-2021,07-01-2021,Sneha,Smith,Sneha Smith,India,South,Technology,Binders,150,8,2,0.1
ORD00187,15-05-2022,19-05-2022,Sneha,Anderson,Sneha Anderson,USA,East,Office Supplies,Tables,972,242,15,0.2
ORD00188,13-08-2022,15-08-2022,Rahul,Verma,Rahul Verma,USA,East,Office Supplies,Phones,1998,-497,2,0
ORD00189,03-11-2021,07-11-2021,Ava,Anderson,Ava Anderson,USA,West,Technology,Storage,554,25,9,0.1
ORD00190,02-04-2021,06-04-2021,Priya,Smith,Priya Smith,USA,East,Furniture,Phones,179,-39,14,0.1
ORD00191,04-07-2022,06-07-2022,Amit,Anderson,Amit Anderson,UK,South,Technology,Phones,1231,322,6,0.1
ORD00192,26-05-2021,29-05-2021,Olivia,Anderson,Olivia Anderson,USA,East,Office Supplies,Storage,687,-85,4,0.1
ORD00193,11-02-2021,13-02-2021,Priya,Taylor,Priya Taylor,India,East,Technology,Storage,1779,18,5,0.1
ORD00194,17-11-2021,18-11-2021,Emma,Anderson,Emma Anderson,Australia,South,Office Supplies,Storage,55,-3,9,0.1
ORD00195,24-07-2022,31-07-2022,Noah,Smith,NoahSmith,Australia,South,Furniture,Tables,1032,29,4,0
ORD00196,26-11-2021,06-12-2021,Rahul,Patel,RahulPatel,Australia,South,Technology,Tables,1301,-268,14,0.1
ORD00197,17-09-2021,23-09-2021,Priya,Verma,Priya Verma,India,West,Office Supplies,Storage,1882,366,13,0
ORD00198,16-10-2021,20-10-2021,Ava,Patel,Ava Patel,Australia,West,Office Supplies,Tables,1635,523,4,0.1
ORD00199,28-02-2022,03-03-2022,Liam,Smith,Liam Smith,USA,West,Furniture,Tables,600,79,15,0.2
ORD00200,14-03-2021,16-03-2021,Emma,Johnson,Emma Johnson,UK,South,Office Supplies,Tables,1638,19,15,0.1
ORD00201,02-05-2022,07-05-2022,Priya,Johnson,Priya Johnson,Australia,West,Furniture,Chairs,364,25,12,0
ORD00202,30-08-2021,04-09-2021,Priya,Smith,PriyaSmith,Australia,East,Technology,Accessories,1491,-92,6,0
ORD00203,04-11-2021,06-11-2021,Emma,Verma,Emma Verma,Australia,North,Technology,Chairs,596,-143,3,0.2
ORD00204,21-12-2022,31-12-2022,Emma,Patel,Emma Patel,Australia,North,Furniture,Binders,1683,223,14,0
ORD00205,08-08-2022,16-08-2022,Amit,Sharma,Amit Sharma,Australia,East,Technology,Phones,243,11,9,0.2
ORD00206,03-11-2022,04-11-2022,Liam,Smith,Liam Smith,USA,West,Technology,Tables,1577,348,1,0.1
ORD00207,21-02-2021,22-02-2021,Liam,Taylor,Liam Taylor,India,East,Office Supplies,Tables,1205,-164,6,0
ORD00208,08-04-2021,12-04-2021,Noah,Sharma,NoahSharma,India,South,Technology,Accessories,893,3,10,0
ORD00209,14-09-2021,21-09-2021,Sneha,Johnson,Sneha Johnson,India,North,Technology,Accessories,426,-72,1,0.1
ORD00210,12-02-2022,19-02-2022,Olivia,Sharma,Olivia Sharma,Australia,North,Office Supplies,Accessories,1103,357,2,0
ORD00211,13-02-2022,21-02-2022,Emma,Johnson,Emma Johnson,India,West,Technology,Accessories,779,33,3,0.1
ORD00212,21-10-2021,28-10-2021,Priya,Smith,Priya Smith,Canada,West,Office Supplies,Accessories,1208,74,1,0
ORD00213,17-09-2021,26-09-2021,Noah,Patel,Noah Patel,USA,East,Furniture,Tables,1967,-472,7,0.1
ORD00214,12-05-2021,18-05-2021,Rahul,Verma,Rahul Verma,Australia,East,Furniture,Tables,457,60,3,0.1
ORD00215,14-12-2022,20-12-2022,Amit,Johnson,Amit Johnson,India,North,Technology,Accessories,1462,-352,13,0
ORD00216,09-08-2021,14-08-2021,Emma,Johnson,Emma Johnson,Canada,South,Office Supplies,Storage,756,163,13,0.1
ORD00217,05-12-2022,12-12-2022,Noah,Taylor,Noah Taylor,USA,South,Technology,Binders,779,-148,8,0.2
ORD00218,01-11-2022,06-11-2022,Sneha,Patel,Sneha Patel,India,West,Technology,Accessories,169,27,12,0
ORD00219,31-07-2022,08-08-2022,Ava,Taylor,Ava Taylor,Australia,West,Furniture,Accessories,1206,24,11,0.2
ORD00220,20-05-2021,29-05-2021,Rahul,Smith,Rahul Smith,USA,North,Furniture,Binders,1666,290,6,0
ORD00221,17-09-2021,22-09-2021,Emma,Brown,EmmaBrown,USA,East,Furniture,Chairs,228,77,5,0
ORD00222,15-11-2021,21-11-2021,Olivia,Brown,Olivia Brown,USA,West,Technology,Chairs,538,47,10,0
ORD00223,05-08-2021,14-08-2021,Priya,Anderson,Priya Anderson,Australia,West,Furniture,Chairs,1356,-296,8,0.2
ORD00224,23-01-2021,31-01-2021,Emma,Johnson,EmmaJohnson,Australia,South,Technology,Binders,1762,486,4,0.1
ORD00225,24-01-2022,26-01-2022,Noah,Brown,Noah Brown,Canada,South,Office Supplies,Binders,855,-126,4,0
ORD00226,08-01-2021,10-01-2021,Ava,Taylor,AvaTaylor,Canada,West,Furniture,Chairs,1668,455,6,0
